,url,product_name,brands,categories,categories_fr,labels,allergens_fr,traces_fr,additives_n,additives_fr,main_category_fr,image_small_url,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,butyric-acid_100g,caproic-acid_100g,caprylic-acid_100g,capric-acid_100g,lauric-acid_100g,myristic-acid_100g,palmitic-acid_100g,stearic-acid_100g,arachidic-acid_100g,behenic-acid_100g,lignoceric-acid_100g,cerotic-acid_100g,montanic-acid_100g,melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,alpha-linolenic-acid_100g,eicosapentaenoic-acid_100g,docosahexaenoic-acid_100g,omega-6-fat_100g,linoleic-acid_100g,arachidonic-acid_100g,gamma-linolenic-acid_100g,dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,oleic-acid_100g,elaidic-acid_100g,gondoic-acid_100g,mead-acid_100g,erucic-acid_100g,nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g
8017,http://world-fr.openfoodfacts.org/produit/0011161022534/soda-root-beer-shurfine,"Soda, Root Beer","Shurfine,  Topco Associates  Inc.",,,,,,4.0,"E150a - Caramel E150a,E211 - Benzoate de sodium,E330 - Acide citrique,E414 - Gomme d'acacia",,,188.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.11,11.83,,,,,,,,,,0.0,,,,0.0508,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8018,http://world-fr.openfoodfacts.org/produit/0011161022541/caffeine-free-soda-shurfine,Caffeine Free Soda,Shurfine,,,,,,6.0,"E110 - Jaune orangé S,E129 - Rouge allura AC,E211 - Benzoate de sodium,E330 - Acide citrique,E414 - Gomme d'acacia,E445 - Esters glycériques de résine de bois",,,213.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,13.52,,,,,,,,,,0.0,,,,0.04572,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8019,http://world-fr.openfoodfacts.org/produit/0011161022565/soda-shurfine,Soda,Shurfine,,,,,,6.0,"E102 - Tartrazine,E211 - Benzoate de sodium,E330 - Acide citrique,E331 - Citrates de sodium,E414 - Gomme d'acacia,E445 - Esters glycériques de résine de bois",,,213.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52,12.96,,,,,,,,,,0.0,,,,0.0635,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8020,http://world-fr.openfoodfacts.org/produit/0011161022800/soda-black-cherry-shurfine,"Soda, Black Cherry","Shurfine,  Topco Associates  Inc.",,,,,,3.0,"E129 - Rouge allura AC,E211 - Benzoate de sodium,E330 - Acide citrique",,,213.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,12.96,,,,,,,,,,0.0,,,,0.01524,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8021,http://world-fr.openfoodfacts.org/produit/0011161023173/sugar-free-syrup-shurefine,Sugar Free Syrup,Shurefine,,,,,,10.0,"E150a - Caramel E150a,E200 - Acide sorbique,E211 - Benzoate de sodium,E330 - Acide citrique,E338 - Acide orthophosphorique,E420 - Sorbitol,E420i - Sorbitol,E466 - Carboxyméthylcellulose,E950 - Acésulfame K,E951 - Aspartame,E961 - Néotame",,,138.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33,,,,,,,,,,0.0,0.0,,,,0.67818,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8022,http://world-fr.openfoodfacts.org/produit/0011161023623/pancakes-buttermilk-shurfine,"Pancakes, Buttermilk","Shurfine,  Topco Associates  Inc.",,,,,,1.0,"E322 - Lécithines,E322i - Lécithine",,,858.0,,2.56,0.0,,,,,,,,,,,,,,,1.28,0.85,,,,,,,,,,,,,,,,,0.0,0.004,42.74,10.26,,,,,,,,,0.8,4.27,,,,0.9347200000000001,0.368,,0.0,,,,,0.0,0.321,0.21794899999999998,0.002564,,,,,,,,,0.047,,0.068,0.034,0.0015400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
8023,http://world-fr.openfoodfacts.org/produit/0011161024255/coffee-creamer-shurfine,Coffee Creamer,Shurfine,,,,,,3.0,"E322 - Lécithines,E322i - Lécithine,E340 - Orthophosphates de potassium,E340ii - Phosphate dipotassique,E471 - Mono- et diglycérides d'acides gras alimentaires",,,1904.0,,18.18,9.09,,,,,,,,,,,,,,,9.09,0.0,,,,,,,,,,,,,,,,,0.0,0.0,81.82,63.64,,,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,,,0.364,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8024,http://world-fr.openfoodfacts.org/produit/0011161024262/coffee-creamer-shurfine,Coffee Creamer,Shurfine,,,,,,3.0,"E322 - Lécithines,E322i - Lécithine,E340 - Orthophosphates de potassium,E340ii - Phosphate dipotassique,E471 - Mono- et diglycérides d'acides gras alimentaires",,,1904.0,,22.73,13.64,,,,,,,,,,,,,,,9.09,0.0,,,,,,,,,,,,,,,,,0.0,0.0,72.73,54.55,,,,,,,,,0.0,0.0,,,,0.1143,0.045,,0.0,,,,,0.0,,,,,,,,,,,,0.409,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8025,http://world-fr.openfoodfacts.org/produit/0011161024279/coffee-creamer-shurfine,Coffee Creamer,Shurfine,,,,,,3.0,"E322 - Lécithines,E322i - Lécithine,E340 - Orthophosphates de potassium,E340ii - Phosphate dipotassique,E471 - Mono- et diglycérides d'acides gras alimentaires",,,1904.0,,22.73,13.64,,,,,,,,,,,,,,,9.09,0.0,,,,,,,,,,,,,,,,,0.0,0.0,72.73,54.55,,,,,,,,,0.0,0.0,,,,0.23114,0.091,,0.0,,,,,0.0,,,,,,,,,,,,0.455,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8026,http://world-fr.openfoodfacts.org/produit/0011161024804/soda-wild-mountain-citrus-shurfine,"Soda, Wild Mountain Citrus","Shurfine,  Topco Associates  Inc.",,,,,,6.0,"E102 - Tartrazine,E211 - Benzoate de sodium,E330 - Acide citrique,E331 - Citrates de sodium,E414 - Gomme d'acacia,E445 - Esters glycériques de résine de bois",,,213.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52,12.96,,,,,,,,,,0.0,,,,0.0635,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8027,http://world-fr.openfoodfacts.org/produit/0011161024835/soda-lemon-lime-shurfine,"Soda, Lemon Lime","Shurfine,  Topco Associates  Inc.",,,,,,3.0,"E211 - Benzoate de sodium,E330 - Acide citrique,E331 - Citrates de sodium",,,163.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,10.7,,,,,,,,,,0.0,,,,0.04318,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8028,http://world-fr.openfoodfacts.org/produit/0011161024880/diet-soda-wild-mountain-citrus-shurfine,"Diet Soda, Wild Mountain Citrus","Shurfine,  Topco Associates  Inc.",,,,,,9.0,"E102 - Tartrazine,E211 - Benzoate de sodium,E330 - Acide citrique,E331 - Citrates de sodium,E414 - Gomme d'acacia,E445 - Esters glycériques de résine de bois,E950 - Acésulfame K,E951 - Aspartame,E955 - Sucralose",,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,0.04318,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
